DISTRICT CODE,DISTRICT NAME,PROPERTY ID,PROPERTY TYPE,HOUSE NUMBER,STREET NAME,SUBURB NAME,POSTCODE,PROPERTY DESCRIPTION,ZONE CODE,AREA,AREA TYPE,BASE DATE 1,LAND VALUE 1,AUTHORITY 1,BASIS 1,BASE DATE 2,LAND VALUE 2,AUTHORITY 2,BASIS 2,BASE DATE 3,LAND VALUE 3,AUTHORITY 3,BASIS 3,BASE DATE 4,LAND VALUE 4,AUTHORITY 4,BASIS 4,BASE DATE 5,LAND VALUE 5,AUTHORITY 5,BASIS 5
4,LAKE MACQUARIE,97378,NORMAL,80,CENTRAL RD,COORANBONG,2265,PT 1/1/3533 1/7/3533 PT 19/129134,IN1,4.311,H,1/7/2017,849000,14A(1),14G,1/7/2016,824000,14A(1),14G,1/7/2015,824000,14A(1),14G,1/7/2014,800000,60A(1)(a),14G,1/7/2013,900000,60A(1)(a),14G
4,LAKE MACQUARIE,97379,NORMAL,614,FREEMANS DR,COORANBONG,2265,"2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, PT 28, PT 29, 30/1/3533 4, 5, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32/2/3533 1, 2, 3, 4, 5, 8, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 28, 29/3/3533 7, 8, 9, 10, 11, 12/4/3533 2, 3, 4, 5, 6, 7/7/3533 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 24, 25/3534 PT 19/129134 41/755218 1, 2, 3, 4/1117517 100/1135959",SP2,173.05,H,1/7/2017,2600000,14A(1),14G,1/7/2016,2480000,14A(1),14G,1/7/2015,2480000,14A(1),14G,1/7/2014,2482000,60A(1)(a),14G,1/7/2013,2750000,60A(1)(a),14G
4,LAKE MACQUARIE,97380,NORMAL,28,FROST RD,COORANBONG,2265,7/665945,E3,15.78,H,1/7/2017,725000,14A(1),6A(1),1/7/2016,562000,14A(1),6A(1),1/7/2015,468000,14A(1),6A(1),1/7/2014,435000,14A(1),6A(1),1/7/2013,422000,14A(1),6A(1)
4,LAKE MACQUARIE,97381,NORMAL,1,HARMON DR,COORANBONG,2265,2/620137,R2,732.2,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97382,NORMAL,3,HARMON DR,COORANBONG,2265,7/246011,R2,897.8,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97383,NORMAL,5,HARMON DR,COORANBONG,2265,8/246011,R2,868.1,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97384,NORMAL,7,HARMON DR,COORANBONG,2265,9/246011,R2,817.3,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97385,NORMAL,9,HARMON DR,COORANBONG,2265,85/246011,R2,766.4,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97386,NORMAL,11,HARMON DR,COORANBONG,2265,84/246011,R2,741.8,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
4,LAKE MACQUARIE,97387,NORMAL,13,HARMON DR,COORANBONG,2265,83/246011,R2,746.3,M,1/7/2017,245000,14A(1),6A(1),1/7/2016,214000,14A(1),6A(1),1/7/2015,190000,14A(1),6A(1),1/7/2014,162000,14A(1),6A(1),1/7/2013,153000,14A(1),6A(1)
